State,Male,Female
Andaman & Nicobar ,58.7,31.2
Andhra Pradesh,22.6,3.9
Arunachal Pradesh,50.3,18.8
Assam,51.9,22.2
Bihar,48.9,5
Chandigarh,11.9,0.6
Chhatisgarh,43.1,17.3
Dadra & Nagar Haveli,38.5,2.9
Delhi,26.2,2.2
Goa,18.1,2.6
Gujarat,41.2,8.7
Haryana,29.1,2.6
Himachal Pradesh,32.2,1.7
Jammu & Kashmir,38.5,3.6
Jharkhand,47.4,8.4
Karnataka,27.3,8.6
Kerala,16.9,2.2
Ladakh,35.5,3.2
Lakshwadeep,28.5,17.5
Madhya Pradesh,46.4,10.3
Maharashtra,33.8,11
Manipur,58,43.4
Meghalaya,57.8,28.3
Mizoram,73.1,61.7
Nagaland,48.4,13.7
Odisha,51.7,26.1
Puducherry,14.8,2.6
Punjab,12.8,0.4
Rajasthan,41.9,6.9
Sikkim,41.5,11.6
Tamil Nadu,20,4.9
Telangana,22.3,5.6
Tripura,57.5,50.5
Uttar Pradesh,44,8.5
Uttarakhand,33.7,4.6
West Bengal,48.1,10.6